id,framework_code,version_number,control_number,domain_code,domain_name_en,title_en,title_ar,requirement_en,requirement_ar,objective_en,control_type,control_category,maturity_level,priority,is_mandatory,testing_frequency,status
11,NCA-ECC,2.0,1.3,1,Governance,Governance - Control 3,Governance - ضابط 3,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
12,NCA-ECC,2.0,2.3,2,Defense,Defense - Control 3,Defense - ضابط 3,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,corrective,operational,4,low,True,continuous,active
13,NCA-ECC,2.0,3.3,3,Resilience,Resilience - Control 3,Resilience - ضابط 3,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,preventive,administrative,1,critical,True,annually,active
14,NCA-ECC,2.0,4.3,4,Third Party,Third Party - Control 3,Third Party - ضابط 3,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,detective,technical,2,high,True,quarterly,active
15,NCA-ECC,2.0,5.3,5,ICS,ICS - Control 3,ICS - ضابط 3,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,corrective,operational,3,medium,True,monthly,active
16,NCA-ECC,2.0,1.4,1,Governance,Governance - Control 4,Governance - ضابط 4,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,preventive,administrative,4,low,True,continuous,active
17,NCA-ECC,2.0,2.4,2,Defense,Defense - Control 4,Defense - ضابط 4,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,detective,technical,1,critical,True,annually,active
18,NCA-ECC,2.0,3.4,3,Resilience,Resilience - Control 4,Resilience - ضابط 4,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,corrective,operational,2,high,True,quarterly,active
19,NCA-ECC,2.0,4.4,4,Third Party,Third Party - Control 4,Third Party - ضابط 4,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,preventive,administrative,3,medium,True,monthly,active
20,NCA-ECC,2.0,5.4,5,ICS,ICS - Control 4,ICS - ضابط 4,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,detective,technical,4,low,True,continuous,active
21,NCA-ECC,2.0,1.5,1,Governance,Governance - Control 5,Governance - ضابط 5,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,corrective,operational,1,critical,True,annually,active
22,NCA-ECC,2.0,2.5,2,Defense,Defense - Control 5,Defense - ضابط 5,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,preventive,administrative,2,high,True,quarterly,active
23,NCA-ECC,2.0,3.5,3,Resilience,Resilience - Control 5,Resilience - ضابط 5,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,detective,technical,3,medium,True,monthly,active
24,NCA-ECC,2.0,4.5,4,Third Party,Third Party - Control 5,Third Party - ضابط 5,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,corrective,operational,4,low,True,continuous,active
25,NCA-ECC,2.0,5.5,5,ICS,ICS - Control 5,ICS - ضابط 5,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,preventive,administrative,1,critical,True,annually,active
26,NCA-ECC,2.0,1.6,1,Governance,Governance - Control 6,Governance - ضابط 6,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,detective,technical,2,high,True,quarterly,active
27,NCA-ECC,2.0,2.6,2,Defense,Defense - Control 6,Defense - ضابط 6,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,corrective,operational,3,medium,True,monthly,active
28,NCA-ECC,2.0,3.6,3,Resilience,Resilience - Control 6,Resilience - ضابط 6,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,preventive,administrative,4,low,True,continuous,active
29,NCA-ECC,2.0,4.6,4,Third Party,Third Party - Control 6,Third Party - ضابط 6,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,detective,technical,1,critical,True,annually,active
30,NCA-ECC,2.0,5.6,5,ICS,ICS - Control 6,ICS - ضابط 6,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,corrective,operational,2,high,True,quarterly,active
31,NCA-ECC,2.0,1.7,1,Governance,Governance - Control 7,Governance - ضابط 7,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,preventive,administrative,3,medium,True,monthly,active
32,NCA-ECC,2.0,2.7,2,Defense,Defense - Control 7,Defense - ضابط 7,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,detective,technical,4,low,True,continuous,active
33,NCA-ECC,2.0,3.7,3,Resilience,Resilience - Control 7,Resilience - ضابط 7,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,corrective,operational,1,critical,True,annually,active
34,NCA-ECC,2.0,4.7,4,Third Party,Third Party - Control 7,Third Party - ضابط 7,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,preventive,administrative,2,high,True,quarterly,active
35,NCA-ECC,2.0,5.7,5,ICS,ICS - Control 7,ICS - ضابط 7,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,detective,technical,3,medium,True,monthly,active
36,NCA-ECC,2.0,1.8,1,Governance,Governance - Control 8,Governance - ضابط 8,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,corrective,operational,4,low,True,continuous,active
37,NCA-ECC,2.0,2.8,2,Defense,Defense - Control 8,Defense - ضابط 8,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,preventive,administrative,1,critical,True,annually,active
38,NCA-ECC,2.0,3.8,3,Resilience,Resilience - Control 8,Resilience - ضابط 8,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,detective,technical,2,high,True,quarterly,active
39,NCA-ECC,2.0,4.8,4,Third Party,Third Party - Control 8,Third Party - ضابط 8,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,corrective,operational,3,medium,True,monthly,active
40,NCA-ECC,2.0,5.8,5,ICS,ICS - Control 8,ICS - ضابط 8,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,preventive,administrative,4,low,True,continuous,active
41,NCA-ECC,2.0,1.9,1,Governance,Governance - Control 9,Governance - ضابط 9,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,detective,technical,1,critical,True,annually,active
42,NCA-ECC,2.0,2.9,2,Defense,Defense - Control 9,Defense - ضابط 9,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,corrective,operational,2,high,True,quarterly,active
43,NCA-ECC,2.0,3.9,3,Resilience,Resilience - Control 9,Resilience - ضابط 9,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,preventive,administrative,3,medium,True,monthly,active
44,NCA-ECC,2.0,4.9,4,Third Party,Third Party - Control 9,Third Party - ضابط 9,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,detective,technical,4,low,True,continuous,active
45,NCA-ECC,2.0,5.9,5,ICS,ICS - Control 9,ICS - ضابط 9,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,corrective,operational,1,critical,True,annually,active
46,NCA-ECC,2.0,1.10,1,Governance,Governance - Control 10,Governance - ضابط 10,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,preventive,administrative,2,high,True,quarterly,active
47,NCA-ECC,2.0,2.10,2,Defense,Defense - Control 10,Defense - ضابط 10,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,detective,technical,3,medium,True,monthly,active
48,NCA-ECC,2.0,3.10,3,Resilience,Resilience - Control 10,Resilience - ضابط 10,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,corrective,operational,4,low,True,continuous,active
49,NCA-ECC,2.0,4.10,4,Third Party,Third Party - Control 10,Third Party - ضابط 10,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,preventive,administrative,1,critical,True,annually,active
50,NCA-ECC,2.0,5.10,5,ICS,ICS - Control 10,ICS - ضابط 10,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,detective,technical,2,high,True,quarterly,active
51,NCA-ECC,2.0,1.11,1,Governance,Governance - Control 11,Governance - ضابط 11,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,corrective,operational,3,medium,True,monthly,active
52,NCA-ECC,2.0,2.11,2,Defense,Defense - Control 11,Defense - ضابط 11,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,preventive,administrative,4,low,True,continuous,active
53,NCA-ECC,2.0,3.11,3,Resilience,Resilience - Control 11,Resilience - ضابط 11,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,detective,technical,1,critical,True,annually,active
54,NCA-ECC,2.0,4.11,4,Third Party,Third Party - Control 11,Third Party - ضابط 11,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,corrective,operational,2,high,True,quarterly,active
55,NCA-ECC,2.0,5.11,5,ICS,ICS - Control 11,ICS - ضابط 11,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,preventive,administrative,3,medium,True,monthly,active
56,NCA-ECC,2.0,1.12,1,Governance,Governance - Control 12,Governance - ضابط 12,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,detective,technical,4,low,True,continuous,active
57,NCA-ECC,2.0,2.12,2,Defense,Defense - Control 12,Defense - ضابط 12,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,corrective,operational,1,critical,True,annually,active
58,NCA-ECC,2.0,3.12,3,Resilience,Resilience - Control 12,Resilience - ضابط 12,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,preventive,administrative,2,high,True,quarterly,active
59,NCA-ECC,2.0,4.12,4,Third Party,Third Party - Control 12,Third Party - ضابط 12,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,detective,technical,3,medium,True,monthly,active
60,NCA-ECC,2.0,5.12,5,ICS,ICS - Control 12,ICS - ضابط 12,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,corrective,operational,4,low,True,continuous,active
61,NCA-ECC,2.0,1.13,1,Governance,Governance - Control 13,Governance - ضابط 13,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,preventive,administrative,1,critical,True,annually,active
62,NCA-ECC,2.0,2.13,2,Defense,Defense - Control 13,Defense - ضابط 13,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,detective,technical,2,high,True,quarterly,active
63,NCA-ECC,2.0,3.13,3,Resilience,Resilience - Control 13,Resilience - ضابط 13,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,corrective,operational,3,medium,True,monthly,active
64,NCA-ECC,2.0,4.13,4,Third Party,Third Party - Control 13,Third Party - ضابط 13,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,preventive,administrative,4,low,True,continuous,active
65,NCA-ECC,2.0,5.13,5,ICS,ICS - Control 13,ICS - ضابط 13,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,detective,technical,1,critical,True,annually,active
66,NCA-ECC,2.0,1.14,1,Governance,Governance - Control 14,Governance - ضابط 14,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,corrective,operational,2,high,True,quarterly,active
67,NCA-ECC,2.0,2.14,2,Defense,Defense - Control 14,Defense - ضابط 14,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,preventive,administrative,3,medium,True,monthly,active
68,NCA-ECC,2.0,3.14,3,Resilience,Resilience - Control 14,Resilience - ضابط 14,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,detective,technical,4,low,True,continuous,active
69,NCA-ECC,2.0,4.14,4,Third Party,Third Party - Control 14,Third Party - ضابط 14,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,corrective,operational,1,critical,True,annually,active
70,NCA-ECC,2.0,5.14,5,ICS,ICS - Control 14,ICS - ضابط 14,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,preventive,administrative,2,high,True,quarterly,active
71,NCA-ECC,2.0,1.15,1,Governance,Governance - Control 15,Governance - ضابط 15,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
72,NCA-ECC,2.0,2.15,2,Defense,Defense - Control 15,Defense - ضابط 15,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,corrective,operational,4,low,True,continuous,active
73,NCA-ECC,2.0,3.15,3,Resilience,Resilience - Control 15,Resilience - ضابط 15,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,preventive,administrative,1,critical,True,annually,active
74,NCA-ECC,2.0,4.15,4,Third Party,Third Party - Control 15,Third Party - ضابط 15,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,detective,technical,2,high,True,quarterly,active
75,NCA-ECC,2.0,5.15,5,ICS,ICS - Control 15,ICS - ضابط 15,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,corrective,operational,3,medium,True,monthly,active
76,NCA-ECC,2.0,1.16,1,Governance,Governance - Control 16,Governance - ضابط 16,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,preventive,administrative,4,low,True,continuous,active
77,NCA-ECC,2.0,2.16,2,Defense,Defense - Control 16,Defense - ضابط 16,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,detective,technical,1,critical,True,annually,active
78,NCA-ECC,2.0,3.16,3,Resilience,Resilience - Control 16,Resilience - ضابط 16,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,corrective,operational,2,high,True,quarterly,active
79,NCA-ECC,2.0,4.16,4,Third Party,Third Party - Control 16,Third Party - ضابط 16,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,preventive,administrative,3,medium,True,monthly,active
80,NCA-ECC,2.0,5.16,5,ICS,ICS - Control 16,ICS - ضابط 16,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,detective,technical,4,low,True,continuous,active
81,NCA-ECC,2.0,1.17,1,Governance,Governance - Control 17,Governance - ضابط 17,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,corrective,operational,1,critical,True,annually,active
