mapping_id,control_id,framework_code,control_number,evidence_type_code,evidence_name_en,evidence_name_ar,evidence_category,is_mandatory,is_primary,display_order,min_retention_months,review_frequency_months,approval_role,format_hints,requirement_description_en
36,11,NCA-ECC,1-4-2,REVIEW_REPORT,Review Report,تقرير المراجعة,record,True,True,1,60,12,Reviewer,PDF,Provide Review Report demonstrating implementation of Roles Review
37,11,NCA-ECC,1-4-2,RACI_MATRIX,RACI Matrix,مصفوفة RACI,document,True,False,2,36,12,Department Head,"XLSX, PDF",Provide RACI Matrix demonstrating implementation of Roles Review
38,11,NCA-ECC,1-4-2,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,False,False,3,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Roles Review
39,12,NCA-ECC,1-5-1,RISK_METHODOLOGY,Risk Methodology,منهجية المخاطر,document,True,True,1,60,24,CISO/Risk,PDF,Provide Risk Methodology demonstrating implementation of Risk Methodology
40,12,NCA-ECC,1-5-1,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Risk Methodology
41,12,NCA-ECC,1-5-1,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Risk Methodology
42,12,NCA-ECC,1-5-1,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,False,False,4,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Risk Methodology
43,13,NCA-ECC,1-5-2,RISK_ASSESSMENT,Risk Assessment,تقييم المخاطر,record,True,True,1,36,12,Risk Officer,"PDF, XLSX",Provide Risk Assessment demonstrating implementation of Risk Assessment
44,13,NCA-ECC,1-5-2,RISK_REGISTER,Risk Register,سجل المخاطر,record,True,False,2,60,3,CISO,"XLSX, JSON",Provide Risk Register demonstrating implementation of Risk Assessment
45,13,NCA-ECC,1-5-2,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Risk Assessment
46,13,NCA-ECC,1-5-2,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,False,False,4,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Risk Assessment
47,14,NCA-ECC,1-5-3,RISK_TREATMENT_PLAN,Risk Treatment Plan,خطة معالجة المخاطر,record,True,True,1,36,6,CISO,"PDF, XLSX",Provide Risk Treatment Plan demonstrating implementation of Risk Treatment
48,14,NCA-ECC,1-5-3,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,True,False,2,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Risk Treatment
49,14,NCA-ECC,1-5-3,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Risk Treatment
50,15,NCA-ECC,1-6-1,METHODOLOGY,Methodology Document,وثيقة المنهجية,document,True,True,1,60,24,Department Head,PDF,Provide Methodology Document demonstrating implementation of Project Cybersecurity
51,15,NCA-ECC,1-6-1,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Project Cybersecurity
52,15,NCA-ECC,1-6-1,PROJECT_CHARTER,Project Charter,ميثاق المشروع,document,False,False,3,36,0,PMO,PDF,Provide Project Charter demonstrating implementation of Project Cybersecurity
53,15,NCA-ECC,1-6-1,CHECKLIST,Checklist,قائمة التحقق,document,False,False,4,36,12,None,"PDF, XLSX",Provide Checklist demonstrating implementation of Project Cybersecurity
54,16,NCA-ECC,1-7-1,COMPLIANCE_REPORT,Compliance Report,تقرير الامتثال,record,True,True,1,60,12,Compliance Officer,PDF,Provide Compliance Report demonstrating implementation of Compliance Management
55,16,NCA-ECC,1-7-1,AUDIT_REPORT,Audit Report,تقرير التدقيق,record,True,False,2,84,12,Auditor,PDF,Provide Audit Report demonstrating implementation of Compliance Management
56,16,NCA-ECC,1-7-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Compliance Management
57,16,NCA-ECC,1-7-1,EVIDENCE,Generic Evidence,دليل عام,record,False,False,4,36,12,Department Head,Various,Provide Generic Evidence demonstrating implementation of Compliance Management
58,17,NCA-ECC,1-8-1,AUDIT_PLAN,Audit Plan,خطة التدقيق,document,True,True,1,60,12,Internal Auditor,PDF,Provide Audit Plan demonstrating implementation of Internal Audit
59,17,NCA-ECC,1-8-1,AUDIT_REPORT,Audit Report,تقرير التدقيق,record,True,False,2,84,12,Auditor,PDF,Provide Audit Report demonstrating implementation of Internal Audit
60,17,NCA-ECC,1-8-1,FINDINGS,Audit Findings,نتائج التدقيق,record,False,False,3,60,12,Auditor,"PDF, XLSX",Provide Audit Findings demonstrating implementation of Internal Audit
61,17,NCA-ECC,1-8-1,REMEDIATION_PLAN,Remediation Plan,خطة المعالجة,record,False,False,4,36,3,CISO,"PDF, XLSX",Provide Remediation Plan demonstrating implementation of Internal Audit
62,18,NCA-ECC,1-9-1,SCREENING_RECORD,Background Screening Record,سجل الفحص الأمني,record,True,True,1,60,0,HR,PDF,Provide Background Screening Record demonstrating implementation of Pre-Employment Screening
63,18,NCA-ECC,1-9-1,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Pre-Employment Screening
64,18,NCA-ECC,1-9-1,HR_RECORDS,HR Records,سجلات الموارد البشرية,record,False,False,3,84,12,HR,"PDF, JSON",Provide HR Records demonstrating implementation of Pre-Employment Screening
65,19,NCA-ECC,1-9-2,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,True,True,1,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Termination Procedures
66,19,NCA-ECC,1-9-2,CHECKLIST,Checklist,قائمة التحقق,document,True,False,2,36,12,None,"PDF, XLSX",Provide Checklist demonstrating implementation of Termination Procedures
67,19,NCA-ECC,1-9-2,ACCESS_LOG,Access Log,سجل الوصول,record,False,False,3,12,1,None,"LOG, CSV",Provide Access Log demonstrating implementation of Termination Procedures
68,19,NCA-ECC,1-9-2,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,False,False,4,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of Termination Procedures
69,20,NCA-ECC,1-10-1,TRAINING_PROGRAM,Training Program,برنامج التدريب,document,True,True,1,36,12,HR/CISO,PDF,Provide Training Program demonstrating implementation of Awareness Program
70,20,NCA-ECC,1-10-1,TRAINING_RECORD,Training Record,سجل التدريب,record,True,False,2,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of Awareness Program
71,20,NCA-ECC,1-10-1,CAMPAIGN_REPORT,Awareness Campaign Report,تقرير حملة التوعية,record,False,False,3,36,12,CISO,PDF,Provide Awareness Campaign Report demonstrating implementation of Awareness Program
72,20,NCA-ECC,1-10-1,QUIZ_RESULTS,Quiz/Test Results,نتائج الاختبارات,record,False,False,4,36,12,HR,"XLSX, PDF",Provide Quiz/Test Results demonstrating implementation of Awareness Program
73,21,NCA-ECC,1-10-2,TRAINING_PROGRAM,Training Program,برنامج التدريب,document,True,True,1,36,12,HR/CISO,PDF,Provide Training Program demonstrating implementation of Specialized Training
74,21,NCA-ECC,1-10-2,CERTIFICATES,Certificates of Completion,شهادات الإكمال,document,True,False,2,60,0,None,PDF,Provide Certificates of Completion demonstrating implementation of Specialized Training
75,21,NCA-ECC,1-10-2,TRAINING_RECORD,Training Record,سجل التدريب,record,False,False,3,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of Specialized Training
76,21,NCA-ECC,1-10-2,SKILLS_MATRIX,Skills Matrix,مصفوفة المهارات,document,False,False,4,36,12,HR,XLSX,Provide Skills Matrix demonstrating implementation of Specialized Training
77,22,NCA-ECC,2-1-1,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Asset Management Requirements
78,22,NCA-ECC,2-1-1,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,True,False,2,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Asset Management Requirements
79,22,NCA-ECC,2-1-1,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Asset Management Requirements
80,23,NCA-ECC,2-1-2,INVENTORY,Asset Inventory,جرد الأصول,record,True,True,1,36,1,None,"XLSX, CSV",Provide Asset Inventory demonstrating implementation of Asset Inventory
81,23,NCA-ECC,2-1-2,CMDB_EXPORT,CMDB Export,تصدير CMDB,artifact,True,False,2,24,1,None,"XLSX, JSON",Provide CMDB Export demonstrating implementation of Asset Inventory
82,23,NCA-ECC,2-1-2,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Asset Inventory
83,23,NCA-ECC,2-1-2,SCREENSHOT,System Screenshot,لقطة شاشة,artifact,False,False,4,24,3,None,"PNG, JPG, PDF",Provide System Screenshot demonstrating implementation of Asset Inventory
84,24,NCA-ECC,2-1-3,CLASSIFICATION_SCHEME,Classification Scheme,مخطط التصنيف,document,True,True,1,60,24,CISO,PDF,Provide Classification Scheme demonstrating implementation of Asset Classification
85,24,NCA-ECC,2-1-3,INVENTORY,Asset Inventory,جرد الأصول,record,True,False,2,36,1,None,"XLSX, CSV",Provide Asset Inventory demonstrating implementation of Asset Classification
86,24,NCA-ECC,2-1-3,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Asset Classification
87,25,NCA-ECC,2-1-4,INVENTORY,Asset Inventory,جرد الأصول,record,True,True,1,36,1,None,"XLSX, CSV",Provide Asset Inventory demonstrating implementation of Asset Owner
88,25,NCA-ECC,2-1-4,RACI_MATRIX,RACI Matrix,مصفوفة RACI,document,True,False,2,36,12,Department Head,"XLSX, PDF",Provide RACI Matrix demonstrating implementation of Asset Owner
89,25,NCA-ECC,2-1-4,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Asset Owner
90,26,NCA-ECC,2-2-1,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of IAM Requirements
91,26,NCA-ECC,2-2-1,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,True,False,2,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of IAM Requirements
92,26,NCA-ECC,2-2-1,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of IAM Requirements
93,26,NCA-ECC,2-2-1,STANDARD,Technical Standard,المعيار الفني,document,False,False,4,36,12,CISO,"PDF, DOCX",Provide Technical Standard demonstrating implementation of IAM Requirements
94,27,NCA-ECC,2-2-2,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of User Identification
95,27,NCA-ECC,2-2-2,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of User Identification
96,27,NCA-ECC,2-2-2,ACCESS_REVIEW,Access Review,مراجعة الصلاحيات,record,False,False,3,24,6,System Owner,"PDF, XLSX",Provide Access Review demonstrating implementation of User Identification
97,27,NCA-ECC,2-2-2,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,False,False,4,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of User Identification
98,28,NCA-ECC,2-2-3,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Multi-Factor Authentication
99,28,NCA-ECC,2-2-3,SCREENSHOT,System Screenshot,لقطة شاشة,artifact,True,False,2,24,3,None,"PNG, JPG, PDF",Provide System Screenshot demonstrating implementation of Multi-Factor Authentication
100,28,NCA-ECC,2-2-3,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Multi-Factor Authentication
101,28,NCA-ECC,2-2-3,TEST_RESULT,Test Results,نتائج الاختبار,record,False,False,4,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Multi-Factor Authentication
102,28,NCA-ECC,2-2-3,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,False,False,5,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of Multi-Factor Authentication
103,29,NCA-ECC,2-2-4,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Privileged Access Management
104,29,NCA-ECC,2-2-4,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,True,False,2,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of Privileged Access Management
105,29,NCA-ECC,2-2-4,ACCESS_REVIEW,Access Review,مراجعة الصلاحيات,record,False,False,3,24,6,System Owner,"PDF, XLSX",Provide Access Review demonstrating implementation of Privileged Access Management
106,29,NCA-ECC,2-2-4,POLICY,Policy Document,وثيقة السياسة,document,False,False,4,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Privileged Access Management
107,30,NCA-ECC,2-2-5,ACCESS_REVIEW,Access Review,مراجعة الصلاحيات,record,True,True,1,24,6,System Owner,"PDF, XLSX",Provide Access Review demonstrating implementation of Access Review
108,30,NCA-ECC,2-2-5,REPORT,Report,تقرير,record,True,False,2,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Access Review
109,30,NCA-ECC,2-2-5,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Access Review
110,31,NCA-ECC,2-2-6,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Password Standards
111,31,NCA-ECC,2-2-6,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Password Standards
112,31,NCA-ECC,2-2-6,SCREENSHOT,System Screenshot,لقطة شاشة,artifact,False,False,3,24,3,None,"PNG, JPG, PDF",Provide System Screenshot demonstrating implementation of Password Standards
113,31,NCA-ECC,2-2-6,TEST_RESULT,Test Results,نتائج الاختبار,record,False,False,4,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Password Standards
114,32,NCA-ECC,2-3-1,BASELINE_CONFIG,Baseline Configuration,التكوين الأساسي,document,True,True,1,36,12,CISO,"PDF, JSON",Provide Baseline Configuration demonstrating implementation of System Hardening
115,32,NCA-ECC,2-3-1,SCAN_REPORT,Vulnerability Scan Report,تقرير فحص الثغرات,record,True,False,2,24,1,None,"PDF, JSON",Provide Vulnerability Scan Report demonstrating implementation of System Hardening
116,32,NCA-ECC,2-3-1,STANDARD,Technical Standard,المعيار الفني,document,False,False,3,36,12,CISO,"PDF, DOCX",Provide Technical Standard demonstrating implementation of System Hardening
117,32,NCA-ECC,2-3-1,TEST_RESULT,Test Results,نتائج الاختبار,record,False,False,4,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of System Hardening
118,33,NCA-ECC,2-3-2,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Anti-Malware
119,33,NCA-ECC,2-3-2,SCAN_REPORT,Vulnerability Scan Report,تقرير فحص الثغرات,record,True,False,2,24,1,None,"PDF, JSON",Provide Vulnerability Scan Report demonstrating implementation of Anti-Malware
120,33,NCA-ECC,2-3-2,LOG,System Log,سجل النظام,record,False,False,3,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of Anti-Malware
121,33,NCA-ECC,2-3-2,REPORT,Report,تقرير,record,False,False,4,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Anti-Malware
122,34,NCA-ECC,2-3-3,PATCH_REPORT,Patch Management Report,تقرير إدارة التحديثات,record,True,True,1,24,1,None,"PDF, XLSX",Provide Patch Management Report demonstrating implementation of Patch Management
123,34,NCA-ECC,2-3-3,SCAN_REPORT,Vulnerability Scan Report,تقرير فحص الثغرات,record,True,False,2,24,1,None,"PDF, JSON",Provide Vulnerability Scan Report demonstrating implementation of Patch Management
124,34,NCA-ECC,2-3-3,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Patch Management
125,34,NCA-ECC,2-3-3,CHANGE_RECORD,Change Management Record,سجل التغيير,record,False,False,4,24,1,CAB,"PDF, JSON",Provide Change Management Record demonstrating implementation of Patch Management
126,35,NCA-ECC,2-4-1,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Email Security Requirements
127,35,NCA-ECC,2-4-1,DNS_RECORDS,DNS Records (SPF/DKIM/DMARC),سجلات DNS,artifact,True,False,2,24,12,None,TXT,Provide DNS Records (SPF/DKIM/DMARC) demonstrating implementation of Email Security Requirements
128,35,NCA-ECC,2-4-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Email Security Requirements
129,35,NCA-ECC,2-4-1,TEST_RESULT,Test Results,نتائج الاختبار,record,False,False,4,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Email Security Requirements
130,36,NCA-ECC,2-4-2,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Email Anti-Phishing
131,36,NCA-ECC,2-4-2,LOG,System Log,سجل النظام,record,True,False,2,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of Email Anti-Phishing
132,36,NCA-ECC,2-4-2,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Email Anti-Phishing
133,36,NCA-ECC,2-4-2,TRAINING_RECORD,Training Record,سجل التدريب,record,False,False,4,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of Email Anti-Phishing
134,37,NCA-ECC,2-4-3,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Email Archiving
135,37,NCA-ECC,2-4-3,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Email Archiving
136,37,NCA-ECC,2-4-3,BACKUP_REPORT,Backup Report,تقرير النسخ الاحتياطي,record,False,False,3,12,1,None,"PDF, XLSX",Provide Backup Report demonstrating implementation of Email Archiving
137,38,NCA-ECC,2-5-1,NETWORK_DIAGRAM,Network Diagram,مخطط الشبكة,document,True,True,1,36,12,Architect,"PNG, PDF, VISIO",Provide Network Diagram demonstrating implementation of Network Segregation
138,38,NCA-ECC,2-5-1,FIREWALL_CONFIG,Firewall Configuration,تكوين الجدار الناري,artifact,True,False,2,24,6,None,"TXT, JSON",Provide Firewall Configuration demonstrating implementation of Network Segregation
139,38,NCA-ECC,2-5-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Network Segregation
140,38,NCA-ECC,2-5-1,SCREENSHOT,System Screenshot,لقطة شاشة,artifact,False,False,4,24,3,None,"PNG, JPG, PDF",Provide System Screenshot demonstrating implementation of Network Segregation
141,39,NCA-ECC,2-5-2,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Wireless Security
142,39,NCA-ECC,2-5-2,SCAN_REPORT,Vulnerability Scan Report,تقرير فحص الثغرات,record,True,False,2,24,1,None,"PDF, JSON",Provide Vulnerability Scan Report demonstrating implementation of Wireless Security
143,39,NCA-ECC,2-5-2,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Wireless Security
