risk_id,control_id,framework_code,control_number,primary_risk_category,secondary_risk_category,tertiary_risk_category,inherent_likelihood,inherent_impact,inherent_risk_score,inherent_risk_level,control_effectiveness,residual_likelihood,residual_impact,residual_risk_score,residual_risk_level,risk_reduction_percent,risk_treatment,risk_owner_role,review_frequency_months
17,17,NCA-ECC,1-8-1,COMPLIANCE,OPERATIONAL,STRATEGIC,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
18,18,NCA-ECC,1-9-1,OPERATIONAL,COMPLIANCE,REPUTATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
19,19,NCA-ECC,1-9-2,OPERATIONAL,COMPLIANCE,REPUTATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
20,20,NCA-ECC,1-10-1,OPERATIONAL,REPUTATIONAL,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
21,21,NCA-ECC,1-10-2,OPERATIONAL,REPUTATIONAL,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
22,22,NCA-ECC,2-1-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
23,23,NCA-ECC,2-1-2,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
24,24,NCA-ECC,2-1-3,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
25,25,NCA-ECC,2-1-4,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
26,26,NCA-ECC,2-2-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
27,27,NCA-ECC,2-2-2,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
28,28,NCA-ECC,2-2-3,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
29,29,NCA-ECC,2-2-4,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
30,30,NCA-ECC,2-2-5,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
31,31,NCA-ECC,2-2-6,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
32,32,NCA-ECC,2-3-1,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
33,33,NCA-ECC,2-3-2,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
34,34,NCA-ECC,2-3-3,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,3,5,15,high,3,2,4,8,medium,46.7,accept,CISO,12
35,35,NCA-ECC,2-4-1,CONFIDENTIALITY,INTEGRITY,REPUTATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
36,36,NCA-ECC,2-4-2,CONFIDENTIALITY,INTEGRITY,REPUTATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
37,37,NCA-ECC,2-4-3,CONFIDENTIALITY,INTEGRITY,REPUTATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
38,38,NCA-ECC,2-5-1,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
39,39,NCA-ECC,2-5-2,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
40,40,NCA-ECC,2-5-3,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
41,41,NCA-ECC,2-5-4,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,5,20,critical,4,2,3,6,medium,70.0,accept,CISO,12
42,42,NCA-ECC,2-6-1,CONFIDENTIALITY,PRIVACY,OPERATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
43,43,NCA-ECC,2-6-2,CONFIDENTIALITY,PRIVACY,OPERATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
44,44,NCA-ECC,2-7-1,CONFIDENTIALITY,PRIVACY,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
45,45,NCA-ECC,2-7-2,CONFIDENTIALITY,PRIVACY,COMPLIANCE,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
46,46,NCA-ECC,2-7-3,CONFIDENTIALITY,PRIVACY,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
47,47,NCA-ECC,2-8-1,CONFIDENTIALITY,INTEGRITY,PRIVACY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
48,48,NCA-ECC,2-8-2,CONFIDENTIALITY,INTEGRITY,PRIVACY,4,5,20,critical,4,2,3,6,medium,70.0,accept,CISO,12
49,49,NCA-ECC,2-9-1,AVAILABILITY,INTEGRITY,OPERATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
50,50,NCA-ECC,2-9-2,AVAILABILITY,INTEGRITY,OPERATIONAL,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
51,51,NCA-ECC,2-10-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
52,52,NCA-ECC,2-10-2,OPERATIONAL,STRATEGIC,COMPLIANCE,3,5,15,high,3,2,4,8,medium,46.7,accept,CISO,12
53,53,NCA-ECC,2-11-1,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
54,54,NCA-ECC,2-12-1,INTEGRITY,COMPLIANCE,OPERATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
55,55,NCA-ECC,2-12-2,INTEGRITY,COMPLIANCE,OPERATIONAL,4,5,20,critical,4,2,3,6,medium,70.0,accept,CISO,12
56,56,NCA-ECC,2-13-1,OPERATIONAL,STRATEGIC,COMPLIANCE,3,5,15,high,3,2,4,8,medium,46.7,accept,CISO,12
57,57,NCA-ECC,2-13-2,OPERATIONAL,STRATEGIC,COMPLIANCE,3,5,15,high,3,2,4,8,medium,46.7,accept,CISO,12
58,58,NCA-ECC,2-14-1,CONFIDENTIALITY,AVAILABILITY,OPERATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
59,59,NCA-ECC,2-15-1,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
60,60,NCA-ECC,2-15-2,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
61,61,NCA-ECC,3-1-1,AVAILABILITY,OPERATIONAL,FINANCIAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
62,62,NCA-ECC,3-1-2,AVAILABILITY,OPERATIONAL,FINANCIAL,3,5,15,high,3,2,4,8,medium,46.7,accept,CISO,12
63,63,NCA-ECC,3-1-3,AVAILABILITY,OPERATIONAL,FINANCIAL,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
64,64,NCA-ECC,3-1-4,AVAILABILITY,OPERATIONAL,FINANCIAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
65,65,NCA-ECC,4-1-1,THIRD_PARTY,OPERATIONAL,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
66,66,NCA-ECC,4-1-2,THIRD_PARTY,OPERATIONAL,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
67,67,NCA-ECC,4-1-3,THIRD_PARTY,OPERATIONAL,COMPLIANCE,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
68,68,NCA-ECC,4-1-4,THIRD_PARTY,OPERATIONAL,COMPLIANCE,3,4,12,high,3,2,3,6,medium,50.0,accept,CISO,12
69,69,NCA-ECC,4-2-1,CONFIDENTIALITY,AVAILABILITY,THIRD_PARTY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
70,70,NCA-ECC,4-2-2,CONFIDENTIALITY,AVAILABILITY,THIRD_PARTY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
71,71,NCA-ECC,4-2-3,CONFIDENTIALITY,AVAILABILITY,THIRD_PARTY,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
72,72,NCA-ECC,4-2-4,CONFIDENTIALITY,AVAILABILITY,THIRD_PARTY,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
