lifecycle_id,mapping_id,control_id,framework_code,control_number,evidence_type_code,stage_code,stage_name_en,stage_name_ar,stage_order,duration_days,responsible_role,is_active_stage
52,5,2,NCA-ECC,1-1-2,ROADMAP,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
53,5,2,NCA-ECC,1-1-2,ROADMAP,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
54,5,2,NCA-ECC,1-1-2,ROADMAP,STORE,Storage,التخزين,6,1,GRC Platform,True
55,5,2,NCA-ECC,1-1-2,ROADMAP,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
56,5,2,NCA-ECC,1-1-2,ROADMAP,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
57,5,2,NCA-ECC,1-1-2,ROADMAP,REFRESH,Refresh,التحديث,9,14,Control Owner,False
58,5,2,NCA-ECC,1-1-2,ROADMAP,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
59,5,2,NCA-ECC,1-1-2,ROADMAP,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
60,5,2,NCA-ECC,1-1-2,ROADMAP,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
61,6,2,NCA-ECC,1-1-2,REPORT,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
62,6,2,NCA-ECC,1-1-2,REPORT,PLAN,Planning,التخطيط,2,7,Control Owner,False
63,6,2,NCA-ECC,1-1-2,REPORT,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
64,6,2,NCA-ECC,1-1-2,REPORT,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
65,6,2,NCA-ECC,1-1-2,REPORT,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
66,6,2,NCA-ECC,1-1-2,REPORT,STORE,Storage,التخزين,6,1,GRC Platform,True
67,6,2,NCA-ECC,1-1-2,REPORT,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
68,6,2,NCA-ECC,1-1-2,REPORT,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
69,6,2,NCA-ECC,1-1-2,REPORT,REFRESH,Refresh,التحديث,9,14,Control Owner,False
70,6,2,NCA-ECC,1-1-2,REPORT,RETAIN,Retention,الاحتفاظ,10,1080,Records Manager,True
71,6,2,NCA-ECC,1-1-2,REPORT,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
72,6,2,NCA-ECC,1-1-2,REPORT,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
73,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
74,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,PLAN,Planning,التخطيط,2,7,Control Owner,False
75,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
76,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
77,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
78,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,STORE,Storage,التخزين,6,1,GRC Platform,True
79,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
80,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
81,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,REFRESH,Refresh,التحديث,9,14,Control Owner,False
82,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
83,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
84,7,2,NCA-ECC,1-1-2,MEETING_MINUTES,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
85,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
86,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,PLAN,Planning,التخطيط,2,7,Control Owner,False
87,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
88,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
89,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
90,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,STORE,Storage,التخزين,6,1,GRC Platform,True
91,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
92,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
93,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,REFRESH,Refresh,التحديث,9,14,Control Owner,False
94,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
95,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
96,8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
97,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
98,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,PLAN,Planning,التخطيط,2,7,Control Owner,False
99,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
100,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
101,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
102,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,STORE,Storage,التخزين,6,1,GRC Platform,True
103,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
104,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
105,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,REFRESH,Refresh,التحديث,9,14,Control Owner,False
106,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
107,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
108,9,3,NCA-ECC,1-1-3,REVIEW_REPORT,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
109,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
110,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,PLAN,Planning,التخطيط,2,7,Control Owner,False
111,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
112,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
113,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
114,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,STORE,Storage,التخزين,6,1,GRC Platform,True
115,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
116,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
117,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,REFRESH,Refresh,التحديث,9,14,Control Owner,False
118,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
119,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
120,10,3,NCA-ECC,1-1-3,MEETING_MINUTES,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
121,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
122,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,PLAN,Planning,التخطيط,2,7,Control Owner,False
123,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
124,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
125,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
126,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,STORE,Storage,التخزين,6,1,GRC Platform,True
127,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
128,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
129,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,REFRESH,Refresh,التحديث,9,14,Control Owner,False
130,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,RETAIN,Retention,الاحتفاظ,10,2520,Records Manager,True
131,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
132,11,3,NCA-ECC,1-1-3,AUDIT_REPORT,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
133,12,4,NCA-ECC,1-2-1,ORG_CHART,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
134,12,4,NCA-ECC,1-2-1,ORG_CHART,PLAN,Planning,التخطيط,2,7,Control Owner,False
135,12,4,NCA-ECC,1-2-1,ORG_CHART,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
136,12,4,NCA-ECC,1-2-1,ORG_CHART,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
137,12,4,NCA-ECC,1-2-1,ORG_CHART,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
138,12,4,NCA-ECC,1-2-1,ORG_CHART,STORE,Storage,التخزين,6,1,GRC Platform,True
139,12,4,NCA-ECC,1-2-1,ORG_CHART,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
140,12,4,NCA-ECC,1-2-1,ORG_CHART,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
141,12,4,NCA-ECC,1-2-1,ORG_CHART,REFRESH,Refresh,التحديث,9,14,Control Owner,False
142,12,4,NCA-ECC,1-2-1,ORG_CHART,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
143,12,4,NCA-ECC,1-2-1,ORG_CHART,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
144,12,4,NCA-ECC,1-2-1,ORG_CHART,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
145,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
146,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,PLAN,Planning,التخطيط,2,7,Control Owner,False
147,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
148,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
149,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
150,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,STORE,Storage,التخزين,6,1,GRC Platform,True
151,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
152,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
153,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,REFRESH,Refresh,التحديث,9,14,Control Owner,False
154,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
155,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
156,13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
157,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
158,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,PLAN,Planning,التخطيط,2,7,Control Owner,False
159,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
160,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
161,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
162,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,STORE,Storage,التخزين,6,1,GRC Platform,True
163,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
164,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
165,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,REFRESH,Refresh,التحديث,9,14,Control Owner,False
166,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
167,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
168,14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
169,15,4,NCA-ECC,1-2-1,POLICY,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
170,15,4,NCA-ECC,1-2-1,POLICY,PLAN,Planning,التخطيط,2,7,Control Owner,False
171,15,4,NCA-ECC,1-2-1,POLICY,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
172,15,4,NCA-ECC,1-2-1,POLICY,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
173,15,4,NCA-ECC,1-2-1,POLICY,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
174,15,4,NCA-ECC,1-2-1,POLICY,STORE,Storage,التخزين,6,1,GRC Platform,True
175,15,4,NCA-ECC,1-2-1,POLICY,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
176,15,4,NCA-ECC,1-2-1,POLICY,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
177,15,4,NCA-ECC,1-2-1,POLICY,REFRESH,Refresh,التحديث,9,14,Control Owner,False
178,15,4,NCA-ECC,1-2-1,POLICY,RETAIN,Retention,الاحتفاظ,10,1080,Records Manager,True
179,15,4,NCA-ECC,1-2-1,POLICY,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
180,15,4,NCA-ECC,1-2-1,POLICY,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
181,16,5,NCA-ECC,1-2-2,ORG_CHART,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
182,16,5,NCA-ECC,1-2-2,ORG_CHART,PLAN,Planning,التخطيط,2,7,Control Owner,False
183,16,5,NCA-ECC,1-2-2,ORG_CHART,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
184,16,5,NCA-ECC,1-2-2,ORG_CHART,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
185,16,5,NCA-ECC,1-2-2,ORG_CHART,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
186,16,5,NCA-ECC,1-2-2,ORG_CHART,STORE,Storage,التخزين,6,1,GRC Platform,True
187,16,5,NCA-ECC,1-2-2,ORG_CHART,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
188,16,5,NCA-ECC,1-2-2,ORG_CHART,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
189,16,5,NCA-ECC,1-2-2,ORG_CHART,REFRESH,Refresh,التحديث,9,14,Control Owner,False
190,16,5,NCA-ECC,1-2-2,ORG_CHART,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
191,16,5,NCA-ECC,1-2-2,ORG_CHART,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
192,16,5,NCA-ECC,1-2-2,ORG_CHART,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
193,17,5,NCA-ECC,1-2-2,REPORTING_LINE,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
194,17,5,NCA-ECC,1-2-2,REPORTING_LINE,PLAN,Planning,التخطيط,2,7,Control Owner,False
195,17,5,NCA-ECC,1-2-2,REPORTING_LINE,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
196,17,5,NCA-ECC,1-2-2,REPORTING_LINE,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
197,17,5,NCA-ECC,1-2-2,REPORTING_LINE,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
198,17,5,NCA-ECC,1-2-2,REPORTING_LINE,STORE,Storage,التخزين,6,1,GRC Platform,True
199,17,5,NCA-ECC,1-2-2,REPORTING_LINE,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
200,17,5,NCA-ECC,1-2-2,REPORTING_LINE,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
201,17,5,NCA-ECC,1-2-2,REPORTING_LINE,REFRESH,Refresh,التحديث,9,14,Control Owner,False
202,17,5,NCA-ECC,1-2-2,REPORTING_LINE,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
203,17,5,NCA-ECC,1-2-2,REPORTING_LINE,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
204,17,5,NCA-ECC,1-2-2,REPORTING_LINE,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
205,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
206,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,PLAN,Planning,التخطيط,2,7,Control Owner,False
207,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
208,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
209,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
210,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,STORE,Storage,التخزين,6,1,GRC Platform,True
211,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
212,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
213,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,REFRESH,Refresh,التحديث,9,14,Control Owner,False
214,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
215,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
216,18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
217,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
218,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,PLAN,Planning,التخطيط,2,7,Control Owner,False
219,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
220,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
221,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
222,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,STORE,Storage,التخزين,6,1,GRC Platform,True
223,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
224,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
225,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,REFRESH,Refresh,التحديث,9,14,Control Owner,False
226,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
227,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
228,19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
229,20,6,NCA-ECC,1-2-3,APPOINTMENT_LETTER,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
230,20,6,NCA-ECC,1-2-3,APPOINTMENT_LETTER,PLAN,Planning,التخطيط,2,7,Control Owner,False
231,20,6,NCA-ECC,1-2-3,APPOINTMENT_LETTER,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
232,20,6,NCA-ECC,1-2-3,APPOINTMENT_LETTER,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
