persona_id,sector,sector_name,size,size_employees,org_type,org_type_name,business_model,ownership,mandatory_count,mandatory_frameworks,conditional_frameworks,voluntary_frameworks,total_frameworks
30,RETAIL,Retail,SMALL,6-49,LLC,Limited Liability Company,B2C,FAMILY_OWNED,9,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCNICC; PCI-DSS,ISO9001,12
31,RETAIL,Retail,MEDIUM,50-249,LLC,Limited Liability Company,B2C,MAJORITY_SAUDI,9,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCNICC; PCI-DSS,ISO9001,12
32,RETAIL,Retail,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),B2C,LISTED_TADAWUL,12,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCNICC; PCI-DSS,ISO9001,15
33,CAPITAL_MARKETS,Capital Markets,MEDIUM,50-249,JSC_CLOSED,Closed Joint Stock Company,B2B,MAJORITY_SAUDI,11,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCNICC; PDPL; ZATCA-EINV; ZATCA-VAT,SAMA-AML,ISO27001; NIST-CSF; SOC2,15
34,CAPITAL_MARKETS,Capital Markets,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),B2B,LISTED_TADAWUL,11,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCNICC; PDPL; ZATCA-EINV; ZATCA-VAT,SAMA-AML,ISO27001; NIST-CSF; SOC2,15
35,INSURANCE,Insurance,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),B2C,LISTED_TADAWUL,16,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; NCNICC; PCI-DSS; PDPL; SAMA-AML; SAMA-CSF; SAMA-ITGF; ZATCA-EINV; ZATCA-VAT,CMA-CG,ISO22301; ISO27001; NIST-CSF,20
36,TOURISM,Tourism & Hospitality,SMALL,6-49,LLC,Limited Liability Company,B2C,100_SAUDI,9,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,,ISO9001,10
37,TOURISM,Tourism & Hospitality,MEDIUM,50-249,LLC,Limited Liability Company,B2C,MAJORITY_SAUDI,9,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,,ISO9001,10
38,EDUCATION,Education,MEDIUM,50-249,LLC,Limited Liability Company,B2C,100_SAUDI,7,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL,NCNICC,ISO27001; ISO9001,10
39,EDUCATION,Education,LARGE,250-999,JSC_CLOSED,Closed Joint Stock Company,B2C,MAJORITY_SAUDI,7,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL,NCNICC,ISO27001; ISO9001,10
40,PHARMACEUTICAL,Pharmaceutical,MEDIUM,50-249,LLC,Limited Liability Company,MANUFACTURING,MAJORITY_SAUDI,10,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCA-OTCC; NCNICC; PDPL; SFDA-PHARMA; ZATCA-EINV; ZATCA-VAT,NCA-OTCC,ISO27001; ISO9001,13
41,PHARMACEUTICAL,Pharmaceutical,LARGE,250-999,FOREIGN_BRANCH,Foreign Company Branch,MANUFACTURING,FOREIGN_PARENT,10,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCA-OTCC; NCNICC; PDPL; SFDA-PHARMA; ZATCA-EINV; ZATCA-VAT,NCA-OTCC,ISO27001; ISO9001,13
